ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,dividendRate,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AIMCG.bk,SET,2025-04-03,REIT - Retail,Real Estate,660792960.0,0.755,-0.61325,0.25342464,9.471,-0.07224,5.463,-0.67,0.36,2419299284.0,352696388.0,96452043.0,2024-12-31,162817582.0,0.0648,0.7077729762327456,2.220000028610229,3.1114625930786133,0.1459640898716596,0.0347951636340072,0.2463972709394482,-2.18656720688094,-3.3134328785227303,0.7134908301801781,0.3400900857071822,372.0,139.0,511.0,1
AIMIRT.bk,SET,2025-04-03,REIT - Industrial,Real Estate,11434673152.0,0.756,0.91073,0.83468395,40.544,0.1109,19.406,1.2,0.86,13194469708.0,559881569.0,693497237.0,2024-12-31,-1470445020.0,0.0586,-0.0204789655036937,10.199999809265137,10.560341835021973,0.0606486278865524,0.0504202068882495,-0.1285952821259967,7.86999984105428,8.499999841054281,0.9658778066670332,0.0741176484447862,184.0,156.0,340.0,0
AIT.bk,SET,2025-04-03,Information Technology Services,Technology,5424938496.0,1.237,0.07953,1.6427546,3.152,0.13718,2.589,0.37,0.55,776071845.0,3699527835.0,713893651.0,2024-12-31,322291848.0,0.1811,1.1151948294886316,4.679999828338623,4.440000057220459,0.1315947916324543,0.1595079323537712,0.0594093091078612,9.305404941455738,12.64864818469898,1.0540540018074709,0.2643162490113016,358.0,382.0,740.0,1
AKR.bk,SET,2025-04-03,Electrical Equipment & Parts,Industrials,1421862656.0,0.176,0.10889,0.8851884,11.43,0.17691,2.942,0.19,0.1,740639252.0,1083126043.0,374025400.0,2024-12-31,222720343.0,0.1563,0.1983335959848766,1.0099999904632568,0.9399999976158142,0.2630531144633986,0.2050841744962583,0.1566398428569461,4.389473634017142,5.315789423490825,1.074468077686158,0.1742574273879686,425.0,395.0,820.0,1
ALLA.bk,SET,2025-04-03,Industrial Distribution,Industrials,420178816.0,0.699,0.13194999,0.83229035,4.326,0.10702,4.354,0.17,0.11,366740286.0,663858800.0,123106684.0,2024-12-31,90513206.0,0.092,0.7092914245241859,1.3300000429153442,1.600000023841858,0.2929864127181509,0.1194515749842223,0.2154159194927142,3.7117649583255545,7.823529664207907,0.8312500144354997,0.5255638928159734,430.0,305.0,735.0,1
ALLY.bk,SET,2025-04-03,REIT - Retail,Real Estate,8202972672.0,0.723,0.22726,0.5068024,54.082,0.04335,11.408,0.42,0.53,13145495564.0,-168093153.0,742982593.0,2024-12-31,87014269.0,0.0512,0.3177725824618504,4.900000095367432,5.2260332107543945,0.0905747980285359,0.0572520269827055,0.0106076507236229,9.945238322303409,11.66666689373198,0.9376136541352176,0.147551017536416,278.0,153.0,431.0,1
ALT.bk,SET,2025-04-03,Communication Equipment,Technology,1579176192.0,0.218,0.0064,0.5664336,56.776,0.00501,1.266,0.01,0.0,2933772170.0,271286414.0,45351912.0,2024-12-31,460944336.0,-0.0113,0.154144625427631,0.800000011920929,1.2699999809265137,0.0287187156377798,0.0141501039096139,0.2918891117629007,58.2000011920929,80.0000011920929,0.6299212786895464,0.2724999959394336,79.0,12.0,91.0,0
AMARIN.bk,SET,2025-04-03,Publishing,Communication Services,1500096384.0,1.122,0.01924,0.5098293,3.253,0.01789,2.403,0.08,0.06,3821152287.0,1278831970.0,91316787.0,2024-12-31,135897289.0,0.0601,0.5690226049238942,2.359999895095825,3.900000095367432,0.0608739464836947,0.0179053076241682,0.0905923715632395,15.474998688697813,29.49999868869781,0.6051281634323863,0.4754237499465831,185.0,108.0,293.0,0
AMATA.bk,SET,2025-04-03,Real Estate - Development,Real Estate,43270344704.0,5.046,0.16713,0.9415703,65.773,0.12909001,1.079,2.16,0.8,43837801430.0,1549416069.0,3654310695.0,2024-12-31,9227872046.0,0.0603,1.1615541310532431,21.299999237060547,24.700000762939453,0.0844530063256507,0.0805140939754792,0.213260885928347,7.52499964678729,9.8611107578984,0.8623481206130017,0.2369014169362177,256.0,220.0,476.0,1
AMATAR.bk,SET,2025-04-03,REIT - Industrial,Real Estate,3093881600.0,0.048,0.6828,0.622365,25.523,0.07857,2.445,0.78,0.4,4607405892.0,-132031615.0,352872523.0,2024-12-31,305617163.0,0.0687,0.0949306849721191,6.150000095367432,6.388594150543213,0.1140549538159443,0.0788476004819294,0.0987811437257327,7.823077045342861,7.884615506881322,0.9626531206156688,0.007804877927751,327.0,234.0,561.0,1
