ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0096.HK,2024-09-01,Auto Parts,Consumer Cyclical,1161964544.0,0.092,0.04072,6.357143,0.89,0.42,1.68,2583779000.0,1474576000.0,121802000.0,109475000.0,2023-12-31,-88.76,52.81
0098.HK,2024-09-01,Aluminum,Basic Materials,3972123648.0,6.837,0.05158,4.0095696,8.38,5.02,8.8,12866226000.0,4794935000.0,1054379000.0,1291607000.0,2023-12-31,-5.01,40.1
0101.HK,2024-09-01,Real Estate Services,Real Estate,84380303360.0,1.454,0.23486,10.275863,5.96,5.42,11.68,217302000000.0,15137000000.0,6777000000.0,6743000000.0,2023-12-31,-95.97,9.06
0103.HK,2024-09-01,Steel,Basic Materials,1017439360.0,0.04,0.02506,10.333334,0.31,0.159,0.33,3312149000.0,1594603000.0,92576000.0,93443000.0,2023-12-31,-6.45,48.71
0104.HK,2024-09-01,Specialty Retail,Consumer Cyclical,173683888.0,0.221,0.03714,4.4500003,0.178,0.177,0.34,772605000.0,276443000.0,75672000.0,103171000.0,2024-03-31,-91.01,0.56
0105.HK,2024-09-01,Real Estate Services,Real Estate,1673478016.0,1.407,1.2896401,5.2380953,5.5,4.92,8.0,8317831000.0,138714000.0,413201000.0,158898000.0,2024-03-31,-45.45,10.55
0107.HK,2024-09-01,Infrastructure Operations,Industrials,47869865984.0,0.932,0.09799,7.9500003,3.18,2.18,3.69,57659428648.86,6289096911.03,2496943743.36,2316570994.9,2023-12-31,-16.04,31.45
0111.HK,2024-09-01,Capital Markets,Financial Services,96835264.0,0.875,-0.118360005,Infinity,0.223,0.218,0.32,1646468000.0,696054000.0,26157000.0,11442000.0,2023-12-31,-43.5,2.24
0116.HK,2024-09-01,Luxury Goods,Consumer Cyclical,8566870528.0,2.082,0.0305,6.1481476,6.64,6.21,10.42,19156156000.0,5634951000.0,1487351000.0,1386330000.0,2023-12-31,-56.93,6.48
0119.HK,2024-09-01,Real Estate—Development,Real Estate,56968978432.0,8.793,0.03122,3.852941,1.31,1.23,1.96,205810952000.0,105766980000.0,5625459000.0,5319572000.0,2023-12-31,-49.62,6.11
0123.HK,2024-09-01,Real Estate—Development,Real Estate,150337699840.0,6.542,0.03401,5.5135136,4.08,3.52,10.8,401178728000.0,210086539000.0,8572582000.0,8007717000.0,2023-12-31,-164.71,13.73
0135.HK,2024-09-01,Oil & Gas Refining & Marketing,Energy,68388790272.0,5.413,0.03147,10.698629,7.81,5.74,9.09,143519000000.0,34583000000.0,13553000000.0,11762000000.0,2023-12-31,-16.39,26.5
0136.HK,2024-09-01,Entertainment,Communication Services,27261284352.0,0.236,0.17958,32.285713,2.26,1.29,2.49,16681158000.0,3420970000.0,1073843000.0,862035000.0,2023-12-31,-10.18,42.92
0142.HK,2024-09-01,Packaged Foods,Consumer Defensive,33090426880.0,0.865,0.042930003,5.2125,4.17,2.71,4.17,27357500000.0,4592600000.0,2393400000.0,2062700000.0,2023-12-31,0.0,35.01
0144.HK,2024-09-01,Marine Shipping,Industrials,88855707648.0,2.444,0.64871,6.428571,11.7,9.05,12.72,172314000000.0,20369000000.0,10333000000.0,3919000000.0,2023-12-31,-8.72,22.65
0146.HK,2024-09-01,Textile Manufacturing,Consumer Cyclical,150470608.0,1.046,0.08828,4.5555553,1.23,0.62,1.25,792867000.0,260957000.0,43418000.0,33401000.0,2023-06-30,-1.63,49.59
0148.HK,2024-09-01,Conglomerates,Industrials,34297174016.0,10.211,0.052649997,8.071066,15.9,13.68,21.4,98968526000.0,18923121000.0,3912174000.0,4145619000.0,2023-12-31,-34.59,13.96
0149.HK,2024-09-01,Real Estate—Diversified,Real Estate,1835479296.0,0.024,0.0127,Infinity,0.034,0.032,0.11,4638066000.0,1082554000.0,194692000.0,150792000.0,2024-03-31,-223.53,5.88
0150.HK,2024-09-01,Internet Content & Information,Communication Services,264612624.0,0.099,0.02491,20.6,0.206,0.166,0.435,629877000.0,123496000.0,35867000.0,27467000.0,2024-03-31,-111.17,19.42
0151.HK,2024-09-01,Packaged Foods,Consumer Defensive,50399797248.0,0.715,0.16919,12.18919,4.51,4.12,5.31,27457068000.0,8243156000.0,5687261000.0,5250309000.0,2024-03-31,-17.74,8.65
0152.HK,2024-09-01,Infrastructure Operations,Industrials,85678661632.0,3.99,0.121800005,6.1078434,6.23,4.37,7.36,130494541000.0,42009073000.0,7258739000.0,6307867000.0,2023-12-31,-18.14,29.86
0154.HK,2024-09-01,Waste Management,Industrials,4055665152.0,0.806,0.09871,2.6538463,0.345,0.3,0.46,9897162000.0,4072736000.0,421602000.0,418583000.0,2023-12-31,-33.33,13.04
0160.HK,2024-09-01,Real Estate—Development,Real Estate,6430188544.0,1.83,0.00421,128.0,1.28,1.18,1.88,19400857000.0,2002207000.0,384764000.0,472592000.0,2024-03-31,-46.87,7.81
0168.HK,2024-09-01,Beverages—Brewers,Consumer Defensive,35376017408.0,19.964,0.13833,12.555556,45.2,41.55,67.5,49256011349.0,16918479692.0,5762837892.0,4795985382.0,2023-12-31,-49.34,8.08
0173.HK,2024-09-01,Real Estate—Development,Real Estate,12420924416.0,3.001,0.112449996,11.466666,1.72,1.68,2.43,72506967000.0,12376700000.0,1838403000.0,1536430000.0,2023-12-31,-41.28,2.33
0175.HK,2024-09-01,Auto Manufacturers,Consumer Cyclical,61855121408.0,4.123,0.0672,5.7647057,8.82,7.24,10.76,192597681000.0,96823927000.0,5366955000.0,3922284000.0,2023-12-31,-22.0,17.91
0177.HK,2024-09-01,Infrastructure Operations,Industrials,75815469056.0,1.204,0.25976,7.539216,7.69,6.65,8.61,78661443944.36,9549438432.72,6747225149.38,5295252328.02,2023-12-31,-11.96,13.52
0178.HK,2024-09-01,Specialty Retail,Consumer Cyclical,2327612928.0,0.153,0.05012,9.714286,0.68,0.66,1.2,2504118000.0,815320000.0,294146000.0,255174000.0,2024-03-31,-76.47,2.94
0179.HK,2024-09-01,Auto Parts,Consumer Cyclical,9772252160.0,0.896,0.060100004,5.564767,10.74,9.1,13.08,4221468000.0,1146571000.0,302705000.0,284951000.0,2024-03-31,-21.79,15.27
0182.HK,2024-09-01,Utilities—Renewable,Utilities,20165859328.0,0.361,0.3218,4.909091,0.54,0.52,0.73,31236368000.0,6878585000.0,1692798000.0,1033717000.0,2023-12-31,-35.19,3.7
0184.HK,2024-09-01,Lodging,Consumer Cyclical,1138093056.0,4.404,0.15255,2.7532468,2.12,1.85,2.61,5796137000.0,798735000.0,440707000.0,211379000.0,2023-12-31,-23.11,12.74
