ticker,market,date_pulling,industry,sector,marketCap,enterpriseValue,currentPrice,totalCashPerShare,profitMargins,trailingPE,Total Non Current Assets,Working Capital,EBIT,Operating Income,ttm_latest,beta_earnings,numofyear,avg_MF_ROC
AMARIN.bk,SET,2024-10-09,Publishing,Communication Services,3833402624.0,3116484352.0,3.84,0.854,0.04788,20.210526,3858285000.0,1039716000.0,214626151.0,201292851.0,2024-06-30,0.2565,5.0,0.0658
AMATA.bk,SET,2024-10-09,Real Estate - Development,Real Estate,29037500416.0,49967923200.0,25.25,2.798,0.15531,16.396105,39671539000.0,3515883000.0,3744866134.0,2640000075.0,2024-06-30,3.3756,5.0,0.0499
AMATAR.bk,SET,2024-10-09,REIT - Industrial,Real Estate,2415757312.0,3337664000.0,6.75,0.056,0.59935004,10.384616,4633011000.0,-128391000.0,266127387.0,335828051.0,2024-06-30,3.4005,5.0,0.0645
AMATAV.bk,SET,2024-10-09,Real Estate Services,Real Estate,5073684480.0,9833579520.0,4.76,0.821,0.08631,11.069768,8870858000.0,965912000.0,965748120.0,1014862782.0,2024-06-30,3.1124,5.0,0.036
AMC.bk,SET,2024-10-09,Steel,Basic Materials,1613122560.0,2430704384.0,3.36,1.46,0.03877,5.014925,2485624000.0,1008969000.0,451389018.0,364837728.0,2024-06-30,-0.5301,5.0,0.1361
ANI.bk,SET,2024-10-09,Integrated Freight & Logistics,Industrials,7170240000.0,6607455232.0,3.88,0.802,0.10448,9.948719,8183071911.0,455269203.0,1021814987.0,976210436.0,2024-06-30,2.3555,4.0,0.1187
AOT.bk,SET,2024-10-09,Airports & Air Services,Industrials,917856256000.0,964981489664.0,64.25,0.69,0.27789,50.195312,172014627222.0,6720369146.0,26200534191.0,26197247219.0,2024-06-30,2.4312,5.0,-0.0089
AP.bk,SET,2024-10-09,Real Estate - Development,Real Estate,31301705728.0,65493094400.0,9.95,0.982,0.14202,5.9226193,9573186000.0,54893660000.0,6874206376.0,6076889671.0,2024-06-30,3.4408,5.0,0.097
APCO.bk,SET,2024-10-09,Household & Personal Products,Consumer Defensive,3300000000.0,3101804544.0,5.5,0.437,0.32348,42.307693,298641461.0,274709454.0,100475883.0,83865874.0,2024-06-30,2.1306,5.0,0.1373
APCS.bk,SET,2024-10-09,Engineering & Construction,Industrials,1333200000.0,2009188352.0,2.02,0.146,0.045560002,33.666668,1535219575.75,805868738.24,97875326.35000001,67468143.54999998,2024-06-30,-0.2172,5.0,-0.0045
APP.bk,mai,2024-10-09,Software - Application,Technology,532000000.0,236306000.0,1.9,0.978,0.032899998,19.0,189215000.0,277172000.0,40094085.0,40094085.0,2024-06-30,-0.5313,5.0,0.1372
APURE.bk,SET,2024-10-09,Farm Products,Consumer Defensive,3997654272.0,4255463424.0,4.3,0.242,0.14986,10.487805,1433764000.0,1091921000.0,505888953.0,501728559.0,2024-06-30,2.6997,5.0,0.1543
ARIP.bk,mai,2024-10-09,Specialty Business Services,Industrials,316880000.0,207310000.0,0.68,0.236,0.046240002,34.0,89819000.0,141893000.0,13308927.0,11082559.0,2024-06-30,2.5333,5.0,0.0423
ARROW.bk,mai,2024-10-09,Building Products & Equipment,Industrials,1477157760.0,1461283456.0,5.75,0.582,0.09236,12.234042,555098851.91,707770779.95,156603656.57,129547794.75999999,2024-06-30,-2.9135,5.0,0.1106
AS.bk,SET,2024-10-09,Electronic Gaming & Multimedia,Communication Services,2546159616.0,2418619904.0,5.1,0.707,0.18948999,9.444444,867475000.0,132584000.0,332636328.0,233149141.0,2024-06-30,-2.6352,5.0,0.4254
ASEFA.bk,SET,2024-10-09,Electrical Equipment & Parts,Industrials,1748828416.0,2376157440.0,3.3,0.419,0.02902,18.333332,1262974307.0,345092908.0,139368768.0,131125930.0,2024-06-30,-2.1525,5.0,0.1157
ASIAN.bk,SET,2024-10-09,Packaged Foods,Consumer Defensive,7571018752.0,8276726784.0,9.3,1.24,0.07096,10.333334,3979870000.0,4376055000.0,1157664643.0,1096760571.0,2024-06-30,0.0304,5.0,0.1573
ASIMAR.bk,SET,2024-10-09,Aerospace & Defense,Industrials,410682720.0,475601920.0,1.59,0.198,0.06372,9.9375,512799000.0,-19879000.0,61843882.0,61843882.0,2024-06-30,1.2798,5.0,0.0633
ASW.bk,SET,2024-10-09,Real Estate - Development,Real Estate,7107985920.0,18836789248.0,7.9,1.728,0.17908001,4.702381,5655441314.0,8192620736.0,1969131154.0,1687871737.0,2024-06-30,2.7723,5.0,0.1323
ATP30.bk,mai,2024-10-09,Railroads,Industrials,648194496.0,1155285376.0,0.95,0.004,0.0577,15.833333,1037030000.0,-136358000.0,69560898.0,69560898.0,2024-06-30,4.0015,5.0,0.0616
