ticker,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,totalCashPerShare,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest
AMCX,2024-08-18,Entertainment,Communication Services,436130240.0,9.89,2332325376.0,18.199,4872720000.0,807745000.0,275410000.0,417743000.0,2024-06-30
AMED,2024-08-18,Medical Care Facilities,Healthcare,3220037888.0,98.35,3598478336.0,4.578,2117368000.0,479976000.0,175871000.0,209122000.0,2024-06-30
AMGN,2024-08-18,Drug Manufacturers—General,Healthcare,172719046656.0,321.44,226063106048.0,17.31,90907000000.0,21517000000.0,6737000000.0,6192000000.0,2024-06-30
AMKR,2024-08-18,Semiconductor Equipment & Materials,Technology,8022426112.0,32.56,7826263552.0,6.272,6865550000.0,1506600000.0,528177000.0,479915000.0,2024-06-30
AMSWA,2024-08-18,Software—Application,Technology,335468448.0,10.08,251742432.0,2.517,192444000.0,60343000.0,4283000.0,4283000.0,2024-04-30
AMWD,2024-08-18,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1465224960.0,94.0,1886288000.0,5.607,1593865000.0,195726000.0,160175000.0,161196000.0,2024-04-30
AMZN,2024-08-18,Internet Retail,Consumer Cyclical,1858350874624.0,177.06,1927095123968.0,8.489,554818000000.0,158172000000.0,56855000000.0,54376000000.0,2024-06-30
ANDE,2024-08-18,Food Distribution,Consumer Defensive,1710920064.0,50.22,1948849280.0,15.977,3299813000.0,1084729000.0,230882000.0,184116000.0,2024-06-30
ANGI,2024-08-18,Internet Content & Information,Communication Services,1276592640.0,2.56,1450208640.0,0.772,1852465000.0,260826000.0,31040000.0,12558000.0,2024-06-30
ANIP,2024-08-18,Drug Manufacturers—Specialty & Generic,Healthcare,1262226560.0,60.02,1239194496.0,12.658,920753000.0,139978000.0,56906000.0,44687000.0,2024-06-30
ANSS,2024-08-18,Software—Application,Technology,28442591232.0,325.48,28193472512.0,12.808,7319615000.0,708742000.0,634241000.0,603571000.0,2024-06-30
APEI,2024-08-18,Education & Training Services,Consumer Defensive,262516208.0,14.83,372304256.0,7.332,560703000.0,78875000.0,29734000.0,32892000.0,2024-06-30
