ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
SHANG.bk,SET,2024-08-13,Lodging,Consumer Cyclical,6240000000.0,48.0,2550040064.0,8086747000.0,335309000.0,693354981.0,2024-03-31,0.08944856180233912,0.2718996422010725
SHR.bk,SET,2024-08-13,Resorts & Casinos,Consumer Cyclical,6252933632.0,1.74,22406559744.0,38844783000.0,6318016000.0,1411767093.0,2024-06-30,0.04340324056799128,0.06300686536129409
SIAM.bk,SET,2024-08-13,"Furnishings, Fixtures & Appliances",Consumer Cyclical,682094912.0,1.15,855780736.0,3500395000.0,548747000.0,53316818.0,2024-03-31,0.018063406612170558,0.06230196095463406
SICT.bk,mai,2024-08-13,Semiconductors,Technology,2227200000.0,4.64,2477561856.0,1075987032.0,343592839.0,133879554.0,2024-03-31,0.18279712657415895,0.05403681594297196
SIMAT.bk,mai,2024-08-13,Electronics & Computer Distribution,Technology,830163200.0,1.28,1309686400.0,1817082000.0,236539000.0,44498508.0,2024-03-31,0.028153936969762924,0.033976460319050425
SINGER.bk,SET,2024-08-13,Specialty Retail,Consumer Cyclical,6072509952.0,7.45,5963976192.0,18156688000.0,3999852000.0,396929977.0,2024-06-30,0.02803804303447465,0.06655458778196276
SINO.bk,SET,2024-08-13,Integrated Freight & Logistics,Industrials,1196000000.0,1.15,873374976.0,1401543000.0,375034000.0,58945743.0,2024-03-31,0.05742350334970273,0.06749190739350884
SIRI.bk,SET,2024-08-13,Real Estate - Development,Real Estate,27259109376.0,1.58,105400786944.0,153267544000.0,47938569000.0,7439858138.0,2024-03-31,0.07063448721493777,0.07058636233857378
SIS.bk,SET,2024-08-13,Electronics & Computer Distribution,Technology,7564298752.0,21.6,9514255360.0,10225151000.0,6302342000.0,930750000.0,2024-06-30,0.23726620388604186,0.09782688868254215
SISB.bk,SET,2024-08-13,Education & Training Services,Consumer Defensive,27495000064.0,29.25,27252391936.0,4909016000.0,1065147000.0,732387401.0,2024-03-31,0.1905339128362595,0.026874242918564783
SITHAI.bk,SET,2024-08-13,Packaging & Containers,Consumer Cyclical,3748454912.0,1.39,4557002752.0,7806321000.0,2297697000.0,538860253.0,2024-06-30,0.09782120780071393,0.11824883203406061
SJWD.bk,SET,2024-08-13,Integrated Freight & Logistics,Industrials,18291302400.0,10.1,23360565248.0,43102317000.0,6521197000.0,1423870794.0,2024-03-31,0.03892365225558977,0.060951898161877904
SK.bk,mai,2024-08-13,Building Materials,Basic Materials,317400000.0,0.69,266887072.0,597137138.8,152979427.87,55973310.949999996,2024-03-31,0.12602125229977487,0.20972657285550345
SKN.bk,SET,2024-08-13,Lumber & Wood Production,Basic Materials,4960000000.0,6.2,3736066048.0,4556652000.0,462060000.0,598560640.0,2024-03-31,0.14618321923161087,0.160211471721819
SKR.bk,SET,2024-08-13,Medical Care Facilities,Healthcare,19343601664.0,9.4,19244843008.0,9293051892.0,979608887.0,1189997197.0,2024-03-31,0.14314131897990923,0.06183460143090402
SKY.bk,SET,2024-08-13,Information Technology Services,Technology,11805419520.0,16.5,17052461056.0,11791058387.0,3940750549.0,1007874116.0,2024-03-31,0.12838657245023058,0.05910432005621699
SLP.bk,SET,2024-08-13,Specialty Business Services,Industrials,456000000.0,0.38,244090000.0,909945000.0,90929000.0,12854960.0,2024-03-31,0.015695615226076168,0.05266483674054652
SM.bk,SET,2024-08-13,Credit Services,Financial Services,1331000064.0,1.21,3014184960.0,3076430000.0,1592021000.0,79299254.0,2024-03-31,0.05342143169436456,0.026308688767394024
SMD.bk,mai,2024-08-13,Medical Distribution,Healthcare,859890432.0,4.14,679534720.0,1022110000.0,97509000.0,76552323.0,2024-03-31,0.08279498183540793,0.11265402744984097
SMIT.bk,SET,2024-08-13,Steel,Basic Materials,2130599936.0,4.02,1519812864.0,2824159005.27,151636374.79,136657851.11,2024-03-31,0.051134403709597584,0.08991755126373244
SMPC.bk,SET,2024-08-13,Metal Fabrication,Industrials,5060531200.0,9.45,4766652416.0,4458869000.0,1382045000.0,637940000.0,2024-06-30,0.20733717625707548,0.13383396655033133
SMT.bk,SET,2024-08-13,Semiconductors,Technology,1218713856.0,1.47,1194599552.0,2527336000.0,370473000.0,197203645.0,2024-03-31,0.09143077005818172,0.16507928926462548
SNC.bk,SET,2024-08-13,Electronic Components,Technology,1724167296.0,4.76,4974867968.0,12382838000.0,4418937000.0,8446606.0,2024-06-30,0.0010606116273921536,0.0016978553108004816
SNNP.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,11808000000.0,12.3,12852342784.0,5652627056.0,1691949455.0,795205254.0,2024-06-30,0.20077505268270887,0.061872396913499564
SNP.bk,SET,2024-08-13,Restaurants,Consumer Cyclical,7102998528.0,13.8,7137112576.0,4908053000.0,1175863000.0,636666986.0,2024-03-31,0.17058804240941647,0.08920512030886593
SO.bk,SET,2024-08-13,Specialty Business Services,Industrials,1892701952.0,4.24,2710240256.0,2140558000.0,498426000.0,211353234.0,2024-03-31,0.1287066045847715,0.07798320961844646
SONIC.bk,mai,2024-08-13,Integrated Freight & Logistics,Industrials,1190174336.0,1.42,757108864.0,1813104782.0,208169295.0,173140154.0,2024-03-31,0.10787982158936461,0.2286859423164804
SORKON.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,1448832000.0,4.48,2391941888.0,3193334000.0,1338700000.0,159837229.0,2024-06-30,0.0861826263295076,0.06682320745411019
SPA.bk,mai,2024-08-13,Personal Services,Consumer Cyclical,8336249856.0,6.5,8792904704.0,1922845000.0,338424000.0,368650862.0,2024-06-30,0.2326722897512719,0.04192594761459159
SPACK.bk,SET,2024-08-13,Packaging & Containers,Consumer Cyclical,498000000.0,1.66,811331328.0,1347527354.83,658972985.49,44712257.04,2024-03-31,0.06493642191662809,0.055109738151267344
SPALI.bk,SET,2024-08-13,Real Estate - Development,Real Estate,29491054592.0,15.1,53497757696.0,90794654000.0,27916235000.0,7597135296.0,2024-03-31,0.12082261953819164,0.14200848078849543
SPC.bk,SET,2024-08-13,Food Distribution,Consumer Defensive,19370643456.0,59.0,14752671744.0,37740745000.0,8420453000.0,2839418596.0,2024-03-31,0.09684141604046781,0.19246809291712252
SPCG.bk,SET,2024-08-13,Utilities - Renewable,Utilities,8499109888.0,8.05,7880052224.0,24212077000.0,2024383000.0,1954059000.0,2024-03-31,0.08806949473884036,0.24797538702200358
SPG.bk,SET,2024-08-13,Specialty Chemicals,Basic Materials,5071499776.0,14.7,1667721984.0,6218443000.0,357193000.0,440416112.0,2024-03-31,0.07514030488377052,0.26408245272612535
SPI.bk,SET,2024-08-13,Real Estate Services,Real Estate,37461610496.0,65.5,54268768256.0,66357827000.0,9202876000.0,3022998437.0,2024-03-31,0.05289127860506783,0.055704202143297674
SPRC.bk,SET,2024-08-13,Oil & Gas Refining & Marketing,Energy,31435276288.0,7.25,43301339136.0,81651329868.0,27307454803.0,2262736835.0,2024-03-31,0.04163738475207316,0.052255585627346085
SPRIME.bk,SET,2024-08-13,REIT - Diversified,Real Estate,1697650048.0,3.8,2874334976.0,6228018000.0,51336000.0,375555328.0,2024-03-31,0.060802114792375586,0.13065816306582076
SPVI.bk,mai,2024-08-13,Electronics & Computer Distribution,Technology,1016000000.0,2.54,1085038976.0,1154664000.0,491342000.0,97824919.0,2024-06-30,0.147477271973491,0.09015797696100458
SQ.bk,SET,2024-08-13,Engineering & Construction,Industrials,976785984.0,0.85,5818282496.0,9606519000.0,4379769000.0,445484855.0,2024-03-31,0.08523171282345626,0.07656638454840678
SRICHA.bk,SET,2024-08-13,Engineering & Construction,Industrials,2370574336.0,7.65,1399617664.0,2911025601.0,652166171.0,593128011.0,2024-03-31,0.26257853991383606,0.4237785977242425
SRS.bk,mai,2024-08-13,Information Technology Services,Technology,872000000.0,5.45,695552000.0,1236693000.0,377488000.0,82438000.0,2024-06-30,0.09594683457382115,0.11852169212366581
SSC.bk,SET,2024-08-13,Beverages - Non-Alcoholic,Consumer Defensive,16552274944.0,62.25,14563386368.0,14396204000.0,2633709000.0,526807628.0,2024-06-30,0.044787064989188094,0.036173429358267235
SSF.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,1970992768.0,7.3,2955453696.0,4025365000.0,1167367000.0,376940272.0,2024-03-31,0.13188962063654347,0.12754057778342537
SSP.bk,SET,2024-08-13,Utilities - Renewable,Utilities,8088129536.0,6.3,22415333376.0,25922712000.0,3617813000.0,1563242772.0,2024-03-31,0.0700851759965378,0.06973988500540247
SSSC.bk,SET,2024-08-13,Steel,Basic Materials,1535995264.0,2.4,1571229952.0,3901301000.0,543030000.0,279485680.0,2024-03-31,0.08322308711834155,0.1778770062550335
SST.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,2684930560.0,5.1,7182814208.0,7234698000.0,2156052000.0,36229249.0,2024-06-30,0.007133643297839621,0.005043879453216118
SSTRT.bk,SET,2024-08-13,REIT - Industrial,Real Estate,955748160.0,4.86,1067113024.0,1715608000.0,84388000.0,126178351.56,2024-03-31,0.07735213616802149,0.1182427247369066
STA.bk,SET,2024-08-13,Specialty Chemicals,Basic Materials,29644797952.0,19.3,79998164992.0,119956292141.0,24867137015.0,211138039.0,2024-03-31,0.0022204218632527217,0.0026392860263871588
STANLY.bk,SET,2024-08-13,Auto Parts,Consumer Cyclical,15631500288.0,204.0,6190129664.0,24890644821.0,1734407861.0,1539978658.0,2024-06-30,0.06650383914537382,0.24877970924519877
STC.bk,mai,2024-08-13,Building Materials,Basic Materials,306720000.0,0.54,602755968.0,791134000.0,336659000.0,18322487.0,2024-03-31,0.04031572033665218,0.03039785248546888
STEC.bk,SET,2024-08-13,Engineering & Construction,Industrials,12124623872.0,7.95,12698247168.0,47927846000.0,27509912000.0,550453613.0,2024-03-31,0.026959319831281657,0.04334878709773119
STECH.bk,SET,2024-08-13,Building Materials,Basic Materials,942499968.0,1.3,2036773376.0,3091702622.0,1373914917.0,203551253.0,2024-03-31,0.11849616364555363,0.09993809591116729
STGT.bk,SET,2024-08-13,Specialty Chemicals,Basic Materials,25500100608.0,8.9,23302068224.0,48036155905.0,4834680850.0,486952555.0,2024-03-31,0.011271665015605566,0.020897396330616803
STI.bk,SET,2024-08-13,Engineering & Construction,Industrials,1893410560.0,3.14,2346511872.0,2065425000.0,808650000.0,120990113.0,2024-03-31,0.09627030534502994,0.051561687986209345
STP.bk,mai,2024-08-13,Paper & Paper Products,Basic Materials,1400000000.0,14.0,1386914944.0,920050000.0,76463000.0,140843220.75,2024-03-31,0.16695755239234364,0.10155144795238431
STPI.bk,SET,2024-08-13,Metal Fabrication,Industrials,5092165632.0,3.18,5930518016.0,12475762000.0,2175164000.0,270848499.0,2024-03-31,0.026294444167222136,0.0456702936015497
STX.bk,mai,2024-08-13,Building Materials,Basic Materials,442274432.0,1.44,272124864.0,756219398.0,62560505.0,52299052.0,2023-12-31,0.075395922300963,0.19218770101066546
SUC.bk,SET,2024-08-13,Conglomerates,Industrials,8924999680.0,29.75,3513782272.0,28061055000.0,2232841000.0,1506349111.0,2024-03-31,0.058321845676205096,0.4286973393324696
SUN.bk,SET,2024-08-13,Farm Products,Consumer Defensive,2925708544.0,3.78,3333333504.0,2274206963.0,756344595.0,366256158.0,2024-03-31,0.2412973440290207,0.1098768417743057
SUPER.bk,SET,2024-08-13,Utilities - Renewable,Utilities,6837374976.0,0.25,63215370240.0,82862624000.0,29613388000.0,2763191000.0,2024-03-31,0.051891655309383215,0.04371074612881995
SUSCO.bk,SET,2024-08-13,Oil & Gas Refining & Marketing,Energy,3280000000.0,3.28,5397212160.0,10020477000.0,3305554000.0,1593605000.0,2024-03-31,0.23732290005410336,0.29526447224190644
SUTHA.bk,SET,2024-08-13,Chemicals,Basic Materials,1065435392.0,2.94,1844065536.0,2208875000.0,890914000.0,123039800.0,2024-03-31,0.09335617670022102,0.06672203216100883
SVI.bk,SET,2024-08-13,Electronic Components,Technology,18840588288.0,8.75,18071179264.0,15427759000.0,7008962000.0,1611834742.0,2024-06-30,0.19145665847507667,0.08919366680241904
SVOA.bk,SET,2024-08-13,Electronics & Computer Distribution,Technology,1382904192.0,1.7,2936880896.0,6699969000.0,4062063000.0,228759825.0,2024-03-31,0.08672023377633623,0.07789210155289866
SVR.bk,mai,2024-08-13,Real Estate - Development,Real Estate,647699968.0,1.27,1727225472.0,2113854281.0,1196535866.0,85087068.0,2024-03-31,0.0927563064347727,0.0492622818383262
SVT.bk,SET,2024-08-13,Business Equipment & Supplies,Industrials,1029000000.0,1.47,900296000.0,1752812000.0,382221000.0,72044143.0,2024-03-31,0.052564290149285965,0.0800227291912882
SWC.bk,mai,2024-08-13,Specialty Chemicals,Basic Materials,1546069120.0,3.1,1433741184.0,1137835000.0,398594000.0,118495278.0,2024-03-31,0.16029316285216863,0.08264760705932264
SYMC.bk,SET,2024-08-13,Telecom Services,Communication Services,2970536704.0,6.85,3330792960.0,4404311000.0,909027000.0,371202600.0,2024-03-31,0.10620098395437967,0.11144571411607643
SYNEX.bk,SET,2024-08-13,Electronics & Computer Distribution,Technology,10846221312.0,12.8,15895754752.0,14795522000.0,10020495000.0,836165907.0,2024-03-31,0.1751122887891524,0.05260309560920936
SYNTEC.bk,SET,2024-08-13,Engineering & Construction,Industrials,2370530304.0,1.49,927480512.0,10938361000.0,3210159000.0,296288754.0,2024-03-31,0.03833863995791,0.31945550355671515
TACC.bk,mai,2024-08-13,Beverages - Non-Alcoholic,Consumer Defensive,2892000000.0,4.82,2168435968.0,1162144000.0,349625000.0,279013272.0,2024-03-31,0.3433929200424852,0.12867028407453532
TAE.bk,SET,2024-08-13,Chemicals,Basic Materials,720000000.0,0.72,1989714944.0,3042577000.0,1216451000.0,34236177.0,2024-03-31,0.018747981793151184,0.017206573787486214
TAKUNI.bk,mai,2024-08-13,Engineering & Construction,Industrials,560000000.0,0.7,1528229120.0,3431204000.0,1599725000.0,222280143.0,2024-03-31,0.12136647103242788,0.14544948796683052
TASCO.bk,SET,2024-08-13,Building Materials,Basic Materials,25253761024.0,16.0,27009769472.0,25398627000.0,7302069000.0,1703454542.0,2024-03-31,0.09413141117774994,0.06306808889153633
