ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
WHLRP,us,2025-03-06,REIT - Retail,Real Estate,663660416.0,229.126,-0.29818,-0.0031066935,527.103,-0.17995001,1.305,-1.868,580530000.0,59514000.0,31290000.0,2024-09-30,18087000.0,0.0411,-0.2764092970121029,4.320000171661377,2.400000095367432,0.0471476062842355,0.0488872640005999,0.0272533958089795,120.34582431923909,-2.3126339248722574,1.8,53.03842381836832,632.0,388.0,1020.0,2
WILC,us,2025-03-06,Food Distribution,Consumer Defensive,5822728.0,16.276,0.099589996,0.38506833,0.815,0.10123,8.162,1.13,146794000.0,453194000.0,44699000.0,2024-09-30,760000.0,0.0747,0.056043839560335,16.350000381469727,10.850000381469728,7.67664228863172,0.0744998233297999,0.1305230125810444,0.0654870632475458,14.469026886256396,1.5069124245740328,0.9954739828903248,1576.0,701.0,2277.0,1
WLDN,us,2025-03-06,Engineering & Construction,Industrials,497766784.0,3.76,0.03968,1.9615507,49.699,0.110419996,1.775,1.64,219114000.0,99588000.0,32232000.0,2024-09-30,45297000.0,-0.0099,1.010876434956288,31.1200008392334,37.59000015258789,0.0647532158353097,0.101135229775778,0.0910004473098791,16.682927340995978,18.975610267825243,0.8278797742194459,0.1208226188496665,915.0,394.0,1309.0,0
WLFC,us,2025-03-06,Rental & Leasing Services,Industrials,3350863872.0,2.164,0.18927,2.731125,344.299,0.18539,0.682,14.1,2647667000.0,237072000.0,232305000.0,2024-09-30,-236056000.0,0.0437,2.070054037341682,197.22000122070312,99.5455093383789,0.069326898636842,0.0805289490661026,-0.0704463114638874,13.83375895182292,13.98723412912788,1.9812044011981027,0.0109725179322878,981.0,585.0,1566.0,2
WMG,us,2025-03-06,Entertainment,Communication Services,20933855232.0,1.57,0.08071,31.830313,606.026,0.80122,0.692,0.98,6430000000.0,-1207000000.0,872000000.0,2024-12-31,501000000.0,0.1629,0.2577425213891866,33.38999938964844,27.31085205078125,0.0416550124349307,0.166953857936052,0.0239325243462159,32.46938713229432,34.07142794862086,1.2225909073639938,0.0470200667474924,560.0,1312.0,1872.0,1
WSC,us,2025-03-06,Rental & Leasing Services,Industrials,9528368128.0,0.049,0.01174,5.4604435,390.279,0.02468,0.953,0.15,5477401000.0,-27498000.0,585607000.0,2024-12-31,262352000.0,0.096,1.857575902218124,30.299999237060547,36.18553924560547,0.0614593172863608,0.1074527381496514,0.0275337808610746,201.67332824707032,201.999994913737,0.8373510487546573,0.0016171617568909,862.0,948.0,1810.0,1
WWD,us,2025-03-06,Aerospace & Defense,Industrials,11497876480.0,4.78,0.11178,4.915072,41.924,0.16825001,1.885,5.97,2556786000.0,809774000.0,418991000.0,2024-12-31,338774000.0,0.0835,0.983923374080156,182.8800048828125,158.9458770751953,0.0364407289231898,0.1244567154602918,0.0294640493476583,29.83249663028685,30.63316664703727,1.1505803626242803,0.0261373571324157,466.0,965.0,1431.0,3
XPEL,us,2025-03-06,Auto Parts,Consumer Cyclical,831052480.0,0.799,0.1082,3.7213297,9.352,0.22438999,4.055,1.65,117263000.0,126826000.0,59147000.0,2024-12-31,39235000.0,0.2999,1.6554829703210647,30.34000015258789,42.13999938964844,0.0711711972750505,0.2423173514578698,0.0472112182373849,17.903636456113876,18.387878880356297,0.7199810297111874,0.0263348713243776,995.0,1505.0,2500.0,1
XRAY,us,2025-03-06,Medical Instruments & Supplies,Healthcare,5210720256.0,1.518,-0.23992,1.6531886,118.271,-0.34752998,1.099,-4.48,4007000000.0,157000000.0,189000000.0,2024-12-31,281000000.0,0.0571,0.7547330200388294,16.149999618530273,25.18371963500977,0.0362713772212913,0.0453890489913544,0.0539272857099623,-3.2660713434219355,-3.6049106291362216,0.641287301978972,0.0939938102697085,465.0,449.0,914.0,0
XRX,us,2025-03-06,Information Technology Services,Technology,4090042368.0,4.598,-0.21235001,0.7146987,279.141,-0.64818,1.121,-10.75,5430000000.0,316000000.0,134000000.0,2024-12-31,467000000.0,0.0333,0.8648191911780669,6.179999828338623,9.708015441894531,0.0327624968015979,0.023320570831883,0.1141797463160166,-0.1471627747291742,-0.5748837049617324,0.636587350455696,0.7440129656502087,402.0,232.0,634.0,0
