ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
DHG.VN,2024-09-01,Drug Manufacturers—Specialty & Generic,Healthcare,12193703657472.0,20739.66,0.16826001,17.331022,107800.0,95000.0,125900.0,6155169130537.0,1832150704495.0,969220971286.0,881705372074.0,2024-06-30,-16.79,11.87
DIG.VN,2024-09-01,Real Estate—Development,Real Estate,15738281656320.0,4877.952,0.025910001,370.37036,23200.0,19050.0,33950.0,18444556817607.0,8174716373940.0,151439711581.0,166344465802.0,2024-06-30,-46.34,17.89
DMC.VN,2024-09-01,Drug Manufacturers—Specialty & Generic,Healthcare,1859116597248.0,16965.525,0.10903,13.888889,70500.0,54000.0,72000.0,1958544130538.0,455225218272.0,202101000140.0,209638852496.0,2024-06-30,-2.13,23.4
DPG.VN,2024-09-01,Engineering & Construction,Industrials,5428486864896.0,5993.346,0.11266,15.015016,52900.0,31850.0,62800.0,6145874987315.0,2237053595949.0,475874981321.0,474161090273.0,2024-06-30,-18.71,39.79
DPM.VN,2024-09-01,Chemicals,Basic Materials,5796627742720.0,24798.598,0.04716,28.248589,34850.0,28400.0,41800.0,15739669563133.0,3402337163803.0,778324608618.0,511788983988.0,2024-06-30,-19.94,18.51
DRC.VN,2024-09-01,Auto Parts,Consumer Cyclical,4347341307904.0,3242.652,0.06509,13.605442,34000.0,20450.0,38150.0,3671905274749.0,1759495633474.0,412100902497.0,362671211819.0,2024-06-30,-12.21,39.85
DVP.VN,2024-09-01,Marine Shipping,Industrials,1799969570816.0,29700.762,0.40325,11.7785635,74700.0,58200.0,82600.0,1646403792080.0,347791560923.0,544104856420.0,219265490588.0,2024-06-30,-10.58,22.09
DXG.VN,2024-09-01,Real Estate—Diversified,Real Estate,20178557468672.0,1574.375,0.03628,59.523808,15700.0,12050.0,23200.0,28951097502002.0,10762654289166.0,1095539500323.0,1249437431401.0,2024-06-30,-47.77,23.25
FMC.VN,2024-09-01,Packaged Foods,Consumer Defensive,3960785338368.0,7448.921,0.04869,10.928973,48150.0,40850.0,55000.0,3602350887254.0,1406848708997.0,344303980594.0,283048831901.0,2024-06-30,-14.23,15.16
FPT.VN,2024-09-01,Information Technology Services,Technology,191917862158336.0,18317.889,0.12345,29.94012,134800.0,71826.086,139700.0,65321967724908.0,31341216287024.0,10822366358466.0,9322003913093.0,2024-06-30,-3.64,46.72
GAS.VN,2024-09-01,Oil & Gas Integrated,Energy,153163466276864.0,19122.574,0.111490004,27.548208,83300.0,73000.0,93250.0,95166909975673.0,17644684180307.0,14509576958254.0,12534661481121.0,2024-06-30,-11.94,12.36
GEG.VN,2024-09-01,Utilities—Renewable,Utilities,15593156640768.0,2272.288,0.07428,33.44436,12250.0,11333.333,16380.952,16063704744842.0,1563146348902.0,1108782056897.0,1026418263142.0,2024-06-30,-33.72,7.48
