ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
HANA.bk,SET,2024-08-15,Electronic Components,Technology,36300046336.0,41.0,27848716288.0,36742217000.0,5488845000.0,1981612956.0,2024-03-31,0.06340477296337815,0.07115634830370533
HARN.bk,mai,2024-08-15,Security & Protection Services,Industrials,1215759872.0,2.08,871952000.0,1775367000.0,247672000.0,136913293.0,2024-03-31,0.0896208294194849,0.15701930037433254
HENG.bk,SET,2024-08-15,Credit Services,Financial Services,3695699968.0,0.97,12953317376.0,15251683000.0,4386266000.0,511621555.0,2024-06-30,0.047087153212803524,0.039497338029247715
HFT.bk,SET,2024-08-15,Auto Parts,Consumer Cyclical,3081470976.0,4.68,1773246976.0,4227346651.0,490522433.0,457228305.0,2024-06-30,0.12235745604451122,0.25784806695759455
HL.bk,mai,2024-08-15,Medical Distribution,Healthcare,2121600000.0,7.8,1788966528.0,1432077075.0,200384008.0,111664737.0,2024-03-31,0.09065954822005992,0.06241857254022363
HMPRO.bk,SET,2024-08-15,Home Improvement Retail,Consumer Cyclical,103894482944.0,7.9,122022346752.0,66448599000.0,20409271000.0,8747845265.0,2024-06-30,0.19000810057436113,0.07169051815385298
HPT.bk,mai,2024-08-15,"Furnishings, Fixtures & Appliances",Consumer Cyclical,291314752.0,0.44,281494784.0,374036379.0,36136484.0,28632629.0,2024-03-31,0.08473701656521675,0.10171637496487324
HTC.bk,SET,2024-08-15,Beverages - Non-Alcoholic,Consumer Defensive,6310159360.0,15.7,6896116736.0,6911157000.0,1608494000.0,732516573.0,2024-03-31,0.1381412646815383,0.10622160282989734
HTECH.bk,SET,2024-08-15,Tools & Accessories,Industrials,1032000000.0,3.44,943527744.0,1820200484.0,196523959.0,88475466.0,2024-03-31,0.054490820454523727,0.09377092148336445
HUMAN.bk,SET,2024-08-15,Software - Application,Technology,8847928320.0,10.2,7414346752.0,4359386000.0,352997000.0,395721000.0,2024-03-31,0.09877248564729985,0.05337233518155262
I2.bk,mai,2024-08-15,Information Technology Services,Technology,747600000.0,1.78,1455790976.0,1910626000.0,397809000.0,163750637.0,2024-06-30,0.10824219783357802,0.11248224484117149
ICC.bk,SET,2024-08-15,Apparel Retail,Consumer Cyclical,11691712512.0,32.0,9499665408.0,34827907000.0,1772332000.0,1064753430.0,2024-06-30,0.032211009186801316,0.11208325601692602
ICHI.bk,SET,2024-08-15,Beverages - Non-Alcoholic,Consumer Defensive,18590001152.0,14.3,17694402560.0,7377536000.0,1350199000.0,1701669423.0,2024-06-30,0.2823252496085751,0.09616992815834298
ICN.bk,SET,2024-08-15,Telecom Services,Communication Services,1263547904.0,1.88,1181205888.0,1976144000.0,979981000.0,215069479.0,2024-06-30,0.21589787916234593,0.1820761995727539
IFS.bk,SET,2024-08-15,Credit Services,Financial Services,1154790016.0,2.34,2587240704.0,3679996366.0,1881210144.0,197265295.0,2024-06-30,0.10966578050651758,0.07624543580155424
IHL.bk,SET,2024-08-15,Auto Parts,Consumer Cyclical,1244892544.0,2.1,3109648896.0,3850171000.0,2043168000.0,94872395.0,2024-03-31,0.05250262174440219,0.030509037570780467
III.bk,SET,2024-08-15,Integrated Freight & Logistics,Industrials,4383416832.0,5.6,4949476864.0,4834975340.0,715697537.0,829174309.0,2024-06-30,0.20129118468196694,0.1675276664148076
ILINK.bk,SET,2024-08-15,Communication Equipment,Technology,2908431104.0,5.35,8834690048.0,13462478794.0,5544790657.0,1179599860.0,2024-03-31,0.14898286464298008,0.13351909954860705
ILM.bk,SET,2024-08-15,"Furnishings, Fixtures & Appliances",Consumer Cyclical,8231499776.0,16.3,12075889664.0,12550934000.0,2894853000.0,1141278230.0,2024-06-30,0.11819269432391878,0.0945088322065676
