Code,Name,IndustryName,Exchange,TotalShares
126IBC,CTCP Đầu tư Kinh doanh và Xây dựng 126,"Xây dựng nhà cửa, cao ốc",OTC,0
3TAudit,Công ty TNHH Dịch vụ Tài chính - Kế toán và Kiểm toán 3T,Dịch vụ pháp lý,Khác,0
A32,CTCP 32,Sản xuất các sản phẩm da và liên quan,UPCoM,6800000
AA,Công ty TNHH Kiểm toán Mỹ,Dịch vụ pháp lý,Khác,0
AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,221759974
AAAA,CTCP Bảo hiểm AAA,Bảo hiểm và các hoạt động liên quan,OTC,0
AAAT,"Công ty TNHH Dịch vụ Kiểm toán, Kế toán và Tư vấn Thuế AAT",Dịch vụ pháp lý,Khác,0
AAC,Công ty TNHH Kiểm toán và Kế toán AAC,Dịch vụ pháp lý,Khác,0
AACA,Công ty TNHH Tư vấn và Kiểm toán Á Châu,Dịch vụ pháp lý,Khác,0
AACC,Công ty TNHH Kế toán Kiểm toán Tư vấn Việt Nam,Dịch vụ pháp lý,Khác,0
AACVN,Công ty TNHH Kiểm toán - Tư vấn Định giá ACC Việt Nam,Dịch vụ pháp lý,Khác,0
AAFC,Công ty TNHH Tư vấn Tài chính Kế toán và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,12346411
AAS,CTCP Chứng khoán SmartInvest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,31000000
AASC,Công ty TNHH Hãng Kiểm toán AASC,Dịch vụ pháp lý,Khác,0
AASCN,Công ty TNHH Dịch vụ Tư vấn Tài chính Kinh tế và Kiểm toán Nam Việt,Dịch vụ pháp lý,Khác,0
AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,Dịch vụ pháp lý,Khác,0
AAT,CTCP Tiên Sơn Thanh Hóa ,Bán buôn hàng tiêu dùng,HOSE,34800000
AAUS,CTCP Chứng khoán Á - Âu,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,3500000
AAV,CTCP Việt Tiên Sơn Địa ốc,Bán buôn hàng tiêu dùng,HNX,31874996
ABB,Ngân hàng TMCP An Bình,Trung gian tín dụng và các hoạt động liên quan,UPCoM,571311355
ABBS,CTCP Chứng khoán An Bình,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,39700000
ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam,Dịch vụ pháp lý,Khác,0
ABC,CTCP Truyền thông VMG,Viễn thông,UPCoM,20393000
ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm và các hoạt động liên quan,UPCoM,38000000
ABR,CTCP Đầu tư Nhãn hiệu Việt,Bán buôn hàng tiêu dùng,UPCoM,20000000
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn hàng tiêu dùng,HOSE,80000000
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,14107207
AC4,CTCP ACC-244,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2940862
ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính,Dịch vụ pháp lý,Khác,0
ACB,Ngân hàng TMCP Á Châu,Trung gian tín dụng và các hoạt động liên quan,HOSE,2161558460
ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACBS,Công ty TNHH Chứng khoán ACB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,150000000
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,30000000
ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,"Xây dựng nhà cửa, cao ốc",OTC,0
ACE,CTCP Bê tông Ly tâm An Giang,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3050781
ACELife,Công ty TNHH Bảo hiểm Nhân thọ ACE,Bảo hiểm và các hoạt động liên quan,Khác,0
ACELifeFMC,Công ty TNHH MTV Quản lý Quỹ ACE LIFE,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,Dịch vụ pháp lý,Khác,0
ACHAU,CTCP Tơ tằm Á Châu,"Sản xuất sợi, vải",OTC,5000000
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,50159019
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,51000000
ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia  ACPA,Dịch vụ pháp lý,Khác,0
ACS,CTCP Xây lắp Thương mại 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4000000
ACSVN,CTCP ACS Việt Nam,"Nghệ thuật, vui chơi và giải trí",OTC,10800000
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hỗ trợ vận tải,UPCoM,2177173236
ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,Dịch vụ pháp lý,Khác,0
ADC,CTCP Mỹ thuật và Truyền thông,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3060000
ADG,CTCP Clever Group,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,18000333
ADP,CTCP Sơn Á Đông,"Sản xuất hóa chất, dược phẩm",UPCoM,15359914
ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,28069450
AEAAudit,Công ty TNHH Kiểm toán Đông Á,Dịch vụ pháp lý,Khác,0
AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,"Xây dựng nhà cửa, cao ốc",OTC,0
AFC,CTCP Nông Lâm nghiệp Bình Dương,Hoạt động hỗ trợ cho nông lâm nghiệp,OTC,10688363
AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,Dịch vụ pháp lý,Khác,0
AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,Dịch vụ pháp lý,Khác,0
AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,Dịch vụ pháp lý,Khác,0
AFCVietnamFund,Quỹ AFC Vietnam Fund,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP,Dịch vụ pháp lý,Khác,0
AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam,Dịch vụ pháp lý,Khác,0
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,35000000
AG1,CTCP 28.1,Sản xuất các sản phẩm may mặc,UPCoM,4863386
AGC,CTCP Cà phê An Giang,Sản xuất thực phẩm,OTC,8300000
AGD,CTCP Gò Đàng,Sản xuất thực phẩm,OTC,11999930
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm,UPCoM,28109743
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển bất động sản,HOSE,82750577
AGM,CTCP Xuất nhập khẩu An Giang,Sản xuất thực phẩm,HOSE,18200000
AGP,CTCP Dược phẩm Agimexpharm,"Sản xuất hóa chất, dược phẩm",UPCoM,12835177
AGR,CTCP Chứng khoán Agribank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,212000000
AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP,Xây dựng công nghiệp nặng và dân dụng,OTC,0
AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam,Chăn nuôi,OTC,0
AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
AGTourimex,CTCP Du lịch An Giang,Dịch vụ hành chính và hỗ trợ,OTC,0
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,Sản xuất thực phẩm,UPCoM,10800000
AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam),Bảo hiểm và các hoạt động liên quan,Khác,0
AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm và các hoạt động liên quan,UPCoM,80000000
AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế,Dịch vụ pháp lý,Khác,0
AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học,Dịch vụ pháp lý,Khác,0
AITS,CTCP Tin học Viễn thông Hàng không,Viễn thông,OTC,0
ALC,CTCP Âu Lạc,Vận tải đường thủy,OTC,2890000
ALP,CTCP Đầu tư Alphanam,"Sản xuất trang thiết bị, dụng cụ điện",OTC,192484413
ALS,CTCP Logistics Hàng không,Vận tải hàng không,OTC,0
ALT,CTCP Văn hóa Tân Bình,Sản xuất các sản phẩm nhựa và cao su,HNX,6172523
ALV,CTCP Xây dựng ALVICO,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5657936
AMC,CTCP Khoáng sản Á Châu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,2850000
AMD,CTCP Đầu tư và Khoáng sản FLC AMD,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,163504874
AME,CTCP Alphanam E&C,"Xây dựng nhà cửa, cao ốc",HNX,25200000
AMIC,CTCP Đầu tư AMIC,Chăn nuôi,OTC,12000000
AMP,CTCP Armephaco,Bán buôn hàng lâu bền,UPCoM,13000000
AMS,CTCP Cơ khí Xây dựng AMECC,"Sản xuất thiết bị, máy móc",UPCoM,36629865
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Bán buôn hàng lâu bền,HNX,53146816
ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế,Chăn nuôi,OTC,0
ANT,CTCP Rau quả Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,6000000
ANV,CTCP Nam Việt,Sản xuất thực phẩm,HOSE,127539625
ANZB,Ngân hàng TNHH MTV ANZ Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0
AON,Công ty TNHH AON Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B,Dịch vụ pháp lý,Khác,0
APC,CTCP Chiếu xạ An Phú,Hoạt động hỗ trợ cho nông lâm nghiệp,HOSE,20121395
APF,CTCP Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm,UPCoM,18189146
APG,CTCP Chứng khoán APG,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,34028900
APH,CTCP Tập đoàn An Phát Holdings,Sản xuất các sản phẩm nhựa và cao su,HOSE,139362459
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Phát triển bất động sản,HNX,36400000
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Bán buôn hàng lâu bền,UPCoM,1200000
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Sản xuất xăng dầu và than đá,HNX,4724632
APRest,CTCP Thương mại Đầu tư Bất động sản An Phát,Bất động sản ,OTC,50000000
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,39000000
APSC,CTCP Chứng khoán Alpha,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,Chăn nuôi,UPCoM,8800000
AQN,CTCP 28 Quảng Ngãi,Sản xuất các sản phẩm may mặc,UPCoM,1511097
ARM,CTCP Xuất nhập khẩu Hàng không,Bán buôn hàng lâu bền,HNX,3111283
ART,CTCP Chứng khoán BOS,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,96922509
ASA,CTCP ASA,Xây dựng công nghiệp nặng và dân dụng,UPCoM,10000000
ASCAudit,Công ty TNHH Kiểm toán ASC,Dịch vụ pháp lý,Khác,0
ASCH,CTCP Hóa chất Á Châu,"Sản xuất hóa chất, dược phẩm",OTC,0
ASCO,Công ty TNHH Kiểm toán ASCO,Dịch vụ pháp lý,Khác,0
ASCS,CTCP Chứng khoán ASC,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,5600000
ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn,Bất động sản ,OTC,0
ASD,CTCP Sông Đà Hà Nội,Nhà thầu chuyên môn,UPCoM,4000000
ASG,CTCP Tập đoàn ASG,Hỗ trợ vận tải,HOSE,63044964
ASIACorp,CTCP Châu Á,Dịch vụ ăn uống,OTC,3600000
ASIAGF,Quỹ đầu tư Tăng trưởng ACB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,24008000
ASM,CTCP Tập đoàn Sao Mai,Chăn nuôi,HOSE,258867849
ASNAF,Công ty TNHH Kiểm toán ASNAF VN,Dịch vụ pháp lý,Khác,0
ASP,CTCP Tập đoàn Dầu khí An Pha,Phân phối khí đốt thiên nhiên,HOSE,37339929
AST,CTCP Dịch vụ Hàng không Taseco,Của hàng hàng hóa tổng hợp,HOSE,45000000
ATA,CTCP Ntaco,Sản xuất thực phẩm,UPCoM,11999998
ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA,Dịch vụ pháp lý,Khác,0
ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX,Dịch vụ pháp lý,Khác,0
ATB,CTCP An Thịnh,"Xây dựng nhà cửa, cao ốc",UPCoM,13884000
ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A,Bán buôn hàng tiêu dùng,OTC,3000000
ATD,CTCP 28 Đà Nẵng,Sản xuất các sản phẩm may mặc,UPCoM,1544300
ATG,CTCP An Trường An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,15220000
ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam,Dịch vụ pháp lý,Khác,0
ATS,CTCP Suất ăn Công nghiệp Atesco,Dịch vụ ăn uống,HNX,3500000
ATSC,CTCP Chứng khoán An Thành,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,4100000
AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế,Dịch vụ pháp lý,Khác,0
AUM,CTCP Vinacafe Sơn Thành,Trồng trọt,UPCoM,1000000
AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,Dịch vụ pháp lý,Khác,0
AVC,CTCP Thủy điện A Vương,"Phát, truyền tải và phân phối điện năng",UPCoM,75052052
AVF,CTCP Việt An,Sản xuất thực phẩm,UPCoM,43338000
AVICO,Công ty TNHH Kiểm toán AVICO,Dịch vụ pháp lý,Khác,0
AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam",Dịch vụ pháp lý,Khác,0
AVS,CTCP Chứng khoán Âu Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Thuê và cho thuê xe hơi,OTC,0
Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0
AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Bán buôn hàng tiêu dùng,OTC,5000000
Airserco,CTCP Cung ứng Dịch vụ Hàng Không,Vận tải hàng không,OTC,2800000
AnCuong,CTCP Gỗ An Cường,Bán buôn hàng lâu bền,OTC,0
AnGiangDT,Công ty TNHH MTV Môi trường Đô thị An Giang,Chăn nuôi,Khác,0
AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát,Dịch vụ pháp lý,Khác,0
AnPhu,CTCP An Phú,Bất động sản ,OTC,0
AnPhuCorp,CTCP Đầu tư Bất động sản An Phú,"Xây dựng nhà cửa, cao ốc",OTC,0
AnPhuGroup,Công ty TNHH Kiểm toán An Phú,Dịch vụ pháp lý,Khác,0
AnphatCapital,CTCP Quản lý Quỹ Đầu tư Merlin,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,2500000
Anresco,CTCP Địa ốc An Giang,"Xây dựng nhà cửa, cao ốc",OTC,0
ApecAudit,Công ty TNHH Kiểm toán APEC,Dịch vụ pháp lý,Khác,0
Aplaco,CTCP Nhựa Cao Cấp Hàng Không,Bán buôn hàng tiêu dùng,OTC,0
ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn,Sản xuất các sản phẩm gỗ,OTC,2564430
Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ,Bán buôn hàng tiêu dùng,OTC,0
AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN,Dịch vụ pháp lý,Khác,0
AuLac,Công ty TNHH Kiểm toán Âu Lạc,Dịch vụ pháp lý,Khác,0
AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C,Dịch vụ pháp lý,Khác,0
Auto15,CTCP Ô tô 1-5,"Sản xuất thiết bị, máy móc",OTC,0
Avicon,CTCP Công trình Hàng không,"Xây dựng nhà cửa, cao ốc",OTC,0
AzureCity,CTCP Thành Phố Xanh,Bất động sản ,OTC,60000000
B82,CTCP 482,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5000000
BAB,Ngân hàng TMCP Bắc Á,Trung gian tín dụng và các hoạt động liên quan,HNX,708500000
BAF,CTCP Thủy sản Bình An,Sản xuất thực phẩm,OTC,50000000
BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu,Chăn nuôi,OTC,0
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,Sản xuất đồ uống và thuốc lá,UPCoM,2000000
BAM,CTCP Khoáng sản và Luyện kim Bắc Á,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,30000000
BAS,CTCP Basa,Sản xuất thực phẩm,OTC,9600000
BAV,CTCP Hàng không Tre Việt,Vận tải hàng không,OTC,0
BAX,CTCP Thống Nhất,Bất động sản ,HNX,8200000
BBC,CTCP Bibica,Sản xuất thực phẩm,HOSE,15420782
BBH,CTCP Bao bì Hoàng Thạch,Sản xuất các sản phẩm nhựa và cao su,UPCoM,2047932
BBL,CTCP Bourbon Bến Lức,Sản xuất thực phẩm,OTC,0
BBM,CTCP Bia Hà Nội - Nam Định,Sản xuất đồ uống và thuốc lá,UPCoM,2000000
BBS,CTCP VICEM Bao bì Bút Sơn,Sản xuất giấy,HNX,6000000
BBT,CTCP Bông Bạch Tuyết,Sản xuất khác,UPCoM,9800000
BCB,CTCP 397,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5000000
BCC,CTCP Xi măng Bỉm Sơn,Sản xuất sản phẩm khoáng chất phi kim,HNX,123209812
BCE,CTCP Xây dựng và Giao thông Bình Dương,Phát triển bất động sản,HOSE,35000000
BCEL,Ngân hàng Ngoại Thương Lào,Trung gian tín dụng và các hoạt động liên quan,Lào,136577600
BCEL-KT,BCEL-KT Securities Co. LTD,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
BCF,CTCP Thực phẩm Bích Chi,Sản xuất thực phẩm,HNX,21083725
BCG,CTCP Bamboo Capital,Xây dựng công nghiệp nặng và dân dụng,HOSE,136005760
BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,Bất động sản ,Khác,86720144
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Bất động sản ,HOSE,1035000000
BCP,CTCP Dược ENLIE,"Sản xuất hóa chất, dược phẩm",UPCoM,6000000
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Khách sạn và phòng ở,UPCoM,1800000
BDB,CTCP Sách và Thiết bị Bình Định,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1126474
BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,Xây dựng công nghiệp nặng và dân dụng,OTC,21735900
BDF,CTCP Giày Bình Định,Sản xuất các sản phẩm da và liên quan,OTC,1550000
BDG,CTCP May mặc Bình Dương,Sản xuất các sản phẩm may mặc,UPCoM,12000000
BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung,Chăn nuôi,OTC,0
BDOAudit,Công ty TNHH Kiểm toán BDO,Dịch vụ pháp lý,Khác,0
BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,Bất động sản ,OTC,25000000
BDS,CTCP Đường Bình Định,Sản xuất thực phẩm,OTC,3400000
BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam,Bất động sản ,OTC,0
BDSThanhNien,CTCP Bất động sản Thanh Niên,"Xây dựng nhà cửa, cao ốc",OTC,0
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,38600000
BDW,CTCP Cấp thoát nước Bình Định,"Nước, chất thải và các hệ thống khác",UPCoM,12410800
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3000000
BEL,CTCP Điện tử Biên Hòa,"Sản xuất các sản phẩm điện tử, vi tính",UPCoM,6000000
BFC,CTCP Phân bón Bình Điền,"Sản xuất hóa chất, dược phẩm",HOSE,57167993
BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,45753840
BGW,CTCP Nước sạch Bắc Giang,"Nước, chất thải và các hệ thống khác",UPCoM,18149446
BHA,CTCP Thủy điện Bắc Hà,"Phát, truyền tải và phân phối điện năng",UPCoM,66000000
BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà,Dịch vụ pháp lý,Khác,0
BHC,CTCP Bê tông Biên Hòa,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4500000
BHDienMay,CTCP Bách hóa Điện máy Sài Gòn,Chăn nuôi,OTC,0
BHG,CTCP Chè Biển Hồ,Trồng trọt,UPCoM,8935643
BHK,CTCP Bia Hà Nội - Kim Bài,Sản xuất đồ uống và thuốc lá,UPCoM,3986000
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất đồ uống và thuốc lá,HOSE,231800000
BHP,CTCP Bia Hà Nội - Hải Phòng,Sản xuất đồ uống và thuốc lá,UPCoM,9179290
BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,Sản xuất thực phẩm,Khác,297874449
BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,"Xây dựng nhà cửa, cao ốc",UPCoM,4565000
BHV,CTCP Bá Hiến,Sản xuất sản phẩm khoáng chất phi kim,OTC,972013
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm và các hoạt động liên quan,HOSE,117276895
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,4022018040
BII,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản ,HNX,57680000
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Sản xuất hóa chất, dược phẩm",UPCoM,8562000
BJC,CTCP VRG - Bảo Lộc,Xây dựng công nghiệp nặng và dân dụng,OTC,0
BKC,CTCP khoáng sản Bắc Kạn,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,11737728
BKG,CTCP Đầu tư BKG Việt Nam,Sản xuất các sản phẩm gỗ,HOSE,32000000
BKH,CTCP Bánh mứt kẹo Hà Nội,Sản xuất thực phẩm,UPCoM,1750000
BLF,CTCP Thủy sản Bạc Liêu,Sản xuất thực phẩm,HNX,11500000
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm và các hoạt động liên quan,UPCoM,60000000
BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,5000000
BLT,CTCP Lương thực Bình Định,Sản xuất thực phẩm,UPCoM,4000000
BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,Dịch vụ quản lý và tái chế chất thải,UPCoM,1337600
BLW,CTCP Cấp nước Bạc Liêu,"Nước, chất thải và các hệ thống khác",UPCoM,11168800
BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,Bán buôn hàng lâu bền,OTC,3795680
BMC,CTCP Khoáng sản Bình Định,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,12392630
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ quản lý và tái chế chất thải,UPCoM,2753280
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Trạm xăng,UPCoM,4159600
BMG,CTCP May Bình Minh,Sản xuất các sản phẩm may mặc,UPCoM,5292000
BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm và các hoạt động liên quan,HOSE,91354037
BMJ,CTCP Khoáng sản Miền Đông AHP,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,6000000
BMJC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng,"Xây dựng nhà cửa, cao ốc",OTC,0
BMN,CTCP 715,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2750000
BMP,CTCP Nhựa Bình Minh,Sản xuất các sản phẩm nhựa và cao su,HOSE,81860938
BMS,CTCP Chứng khoán Bảo Minh,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,50000000
BMV,CTCP Bột mỳ Vinafood 1,Sản xuất thực phẩm,UPCoM,24200000
BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Sản xuất thực phẩm,HNX,8000000
BNC,CTCP Dịch vụ Cáp treo Bà Nà,Dịch vụ hành chính và hỗ trợ,OTC,216400000
BNW,CTCP Nước sạch Bắc Ninh,"Nước, chất thải và các hệ thống khác",UPCoM,37549391
BOT,CTCP BOT Cầu Thái Hà,Xây dựng công nghiệp nặng và dân dụng,UPCoM,48500000
BOT741,CTCP Kinh doanh BOT đường ĐT.741,Nhà thầu chuyên môn,Khác,0
BOTRM,Công ty TNHH B.O.T Cầu Rạch Miễu,"Xây dựng nhà cửa, cao ốc",Khác,0
BPC,CTCP VICEM Bao bì Bỉm Sơn,Sản xuất giấy,HNX,3800000
BPMC,CTCP Vật tư Xăng dầu Bình Thuận,Cửa hàng đồ nội thất và đồ dùng gia đình,OTC,0
BPW,CTCP Cấp thoát nước Bình Phước,"Nước, chất thải và các hệ thống khác",UPCoM,13203858
BQB,CTCP Bia Hà Nội - Quảng Bình,Sản xuất đồ uống và thuốc lá,UPCoM,5800000
BRC,CTCP Cao su Bến Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,12374997
BRR,CTCP Cao su Bà Rịa,"Sản xuất hóa chất, dược phẩm",UPCoM,112500000
