Code,Name,IndustryName,Exchange,TotalShares
PTV,CTCP Thương mại Dầu khí,Bán buôn hàng tiêu dùng,UPCoM,20000000
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Bán buôn hàng tiêu dùng,UPCoM,5847685
PV2,CTCP Đầu tư PV2,Bất động sản ,HNX,37350000
PVA,CTCP Tổng Công ty Xây lắp Dầu khí Nghệ An,"Xây dựng nhà cửa, cao ốc",UPCoM,21846000
PVB,CTCP Bọc ống Dầu khí Việt Nam,Các hoạt động hỗ trợ Khai khoáng,HNX,21599998
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Các hoạt động hỗ trợ Khai khoáng,HNX,50000000
PVCI,CTCP Đầu tư Xây lắp Dầu khí Việt Nam,"Xây dựng nhà cửa, cao ốc",OTC,0
PVCME,CTCP Thi Công Cơ giới và Lắp máy Dầu khí,"Sản xuất thiết bị, máy móc",OTC,50000000
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí ,Các hoạt động hỗ trợ Khai khoáng,HOSE,421545789
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,25000000
PVEIC,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,"Các dịch vụ chuyên môn, khoa học và kỹ thuật khác",OTC,0
PVF,Tổng Công ty Tài chính Cổ phẩn Dầu khí Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,600000000
PVFCCapital,CTCP Quản lý Quỹ đầu tư Tài chính Dầu khí,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PVG,CTCP Kinh doanh LPG Việt Nam,Phân phối khí đốt thiên nhiên,HNX,36500000
PVH,CTCP Xây lắp Dầu khí Thanh Hóa,Xây dựng công nghiệp nặng và dân dụng,UPCoM,21000000
PVI,CTCP PVI,Bảo hiểm và các hoạt động liên quan,HNX,234241867
PVIASSET,CTCP Quản lý Quỹ PVI,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
PVID,CTCP Đầu tư và Xây lắp khí,Sản xuất các sản phẩm nhựa và cao su,OTC,0
PVL,CTCP Đầu tư Nhà Đất Việt,Bất động sản ,HNX,50000000
PVM,CTCP Máy - Thiết bị Dầu khí,"Sản xuất thiết bị, máy móc",UPCoM,38638600
PVO,CTCP Dầu nhờn PV Oil,Bán buôn hàng tiêu dùng,UPCoM,8900000
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,Hỗ trợ vận tải,UPCoM,94275028
PVQuangNinh,CTCP Xăng dầu Dầu khí Quảng Ninh,Bán buôn hàng tiêu dùng,OTC,0
PVR,CTCP Đầu tư PVR Hà Nội,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,53100913
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các hoạt động hỗ trợ Khai khoáng,HNX,477966290
PVSH,CTCP Vạn Khởi Thành,"Xây dựng nhà cửa, cao ốc",OTC,44697200
PVST,CTCP Du Lịch Dầu khí Sapa,Khách sạn và phòng ở,OTC,10000000
PVT,Tổng Công ty cổ phần Vận tải Dầu khí,Vận tải đường thủy,HOSE,323651246
PVThaiNguyen,CTCP Xăng dầu Dầu khí Thái Nguyên,Chăn nuôi,OTC,0
PVV,CTCP Vinaconex 39,Phát triển bất động sản,UPCoM,30000000
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Xây dựng công nghiệp nặng và dân dụng,UPCoM,400000000
PVY,CTCP Chế tạo Giàn khoan Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,59489787
PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,Trung gian tín dụng và các hoạt động liên quan,OTC,0
PWA,CTCP Bất động sản Dầu khí,Bất động sản ,UPCoM,10000000
PWC,Công ty TNHH Price Waterhouse Coopers Việt Nam,Dịch vụ pháp lý,Khác,0
PWS,CTCP Cấp thoát nước Phú Yên,"Nước, chất thải và các hệ thống khác",UPCoM,38398179
PX1,CTCP Xi măng Sông Lam 2,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,20000000
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An,Bất động sản ,UPCoM,15000000
PXC,CTCP Phát triển Đô thị Dầu khí,Xây dựng công nghiệp nặng và dân dụng,UPCoM,28068900
PXH,CTCP Xây lắp Dầu khí Hà Nội,Bất động sản ,OTC,30000000
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Phát triển bất động sản,HOSE,30000000
PXK,CTCP Đầu tư và Xây lắp Dầu khí Kinh Bắc,"Xây dựng nhà cửa, cao ốc",OTC,15000000
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Bất động sản ,UPCoM,82722212
